id,angle_1,angle_2,angle_3,angle_4,angle_5,ges
43328_1_0,169.0124109345724,168.98789198213998,176.95859561006867,19.054643020443145,35.02228737984942,0
47127_2_0,126.35791925052511,178.49256424122512,177.6220088075555,6.826862338473696,15.265066462581602,0
21328_3_0,128.6448109296726,178.1650031475456,176.42366562500274,20.854458039578343,0.4193029760740632,0
16256_4_0,128.41087812081932,179.82257501676673,174.93638314696994,10.402152778585734,7.8574296738019855,0
24874_5_0,129.33310680699543,178.01548446385507,177.748402960742,9.973351629957575,1.2297741848783386,0
32943_6_0,129.21651307991445,179.7701891549669,176.2566230093218,12.897789856975841,1.1202526976022125,0
49341_7_0,130.47293308669327,179.74296519304195,175.466900553219,13.840695491655639,2.397028530059463,0
55425_8_0,132.27028839401095,178.11918818248756,177.2355908805078,14.492865757545877,1.377983246304737,0
25600_9_0,131.22196165894158,178.42191052195446,175.60129464500457,15.748302606004366,4.134671373736451,0
58613_10_0,130.16457599053808,178.97519921894389,175.1006338712001,18.452740700886455,6.554180590392762,0
74500_11_0,130.4039025912208,179.812000626105,174.9960800477597,16.53938324751143,5.791954368255448,0
35418_12_0,128.8941920486239,179.4878725930377,176.45716612027246,16.87314129476423,7.1977036293017145,0
66379_13_0,131.2418221229427,179.40944774632362,175.13046523998406,11.027132305060732,0.02926239760759225,0
29300_14_0,130.95551442581888,179.25834848629435,175.40574666873363,12.358285059317636,1.227180518802432,0
93567_15_0,131.01647418614934,179.87611742653226,177.42233276856564,11.874537083780003,3.237523322072486,0
65424_16_0,131.63968299722788,179.68098447977363,177.42233276856564,14.226429366158658,1.3591098106015558,0
89261_17_0,130.6627090550345,178.95932873453884,178.73405437287659,12.959594926160198,2.7884583910896112,0
87294_18_0,131.01647418614934,179.68098447977363,176.96580062887273,15.124007308310533,5.599339336520549,0
1876_19_0,130.23296411008266,179.67374173998283,176.21839826298736,12.028850356209345,4.37664306131776,0
78916_20_0,131.94381975985888,179.34001198427984,177.07814102982275,11.903503428468735,0.48146580583832027,0
70405_21_0,130.97393835171206,179.64573044252037,176.73864878810346,14.061854333916408,3.454753844316038,0
23851_22_0,133.0094620695903,179.80210589313393,176.934649328797,13.471075317794185,2.5629574016097885,0
26065_23_0,131.34399841587808,178.45042811418992,178.14320406172226,13.281040261694208,2.514655123903613,0
39991_24_0,132.74879793346784,178.9485327854047,175.48721588762115,14.609182165609948,5.179323245149616,0
61606_25_0,131.31300685104014,178.9078571450366,178.09084756700364,13.574987812753653,2.7249471658729956,0
2006_26_0,131.41394623925822,179.5504255553941,177.4632974282851,14.686623782247107,2.1220539916259287,0
22126_27_0,131.69479638327266,179.3704013915899,177.75175745883055,16.504361381754997,3.281537649742829,0
75286_28_0,129.40829886786958,177.90461717684133,177.90899366408706,15.255118703057812,2.574982692635645,0
57129_29_0,132.51953659636882,179.97873997145044,179.23770617819605,13.240519915187184,2.2906100426385936,0
40218_30_0,129.85744294642828,178.13711659882642,178.90302107931495,17.747056390547314,6.072456407207751,0
90490_31_0,132.64982960069173,178.85383510592908,177.9682978585243,7.4548588778451075,5.013579230005611,0
37885_32_0,133.2576800705518,178.21008939175414,178.752151587793,13.676810747413306,4.000014709443194,0
9965_33_0,134.35521941217687,179.07545208059025,179.3768459080623,9.865806943084365,0.9754568073636454,0
64634_34_0,133.93726648117536,178.04281231188347,177.68517482747305,11.4965630175858,0.37611568826391856,0
10870_35_0,137.38594403038883,178.74570220140257,179.36981621929846,11.88287117170372,5.646686606110589,0
30691_36_0,139.56891259569838,178.72965765136968,178.91907581333942,11.878461894864158,4.05673786129496,0
38842_37_0,136.842872336665,179.91849823489756,179.41094077111572,7.23066302606166,11.702559950080397,0
66169_38_0,139.85135631440554,179.47559167994282,179.72067576529,13.823488653732447,4.97488942954982,0
74250_39_0,135.44645158377162,177.96001240770664,178.6378625077811,13.72983343526155,0.1448689188793107,0
89308_40_0,138.7444891871068,178.75182963840854,178.16132101306715,10.787695051947791,1.5765500551837375,0
62711_41_0,130.68099720208576,177.87649820529975,177.38624502961878,3.613226731656729,13.946372508200083,0
82855_42_0,131.54443244182713,176.95655793735384,176.71868018600043,5.530763905634255,9.541715847067206,0
80011_43_0,135.1336602074146,177.22828385178875,176.46321095804882,6.826518922323007,6.73601121411933,0
11214_44_0,132.25712833612698,178.09125252137784,177.33417542280333,9.03107179644067,7.7969911102345595,0
36159_45_0,131.07750833981967,177.57622865588658,175.95716447562623,7.471275579045895,5.813128566397714,0
81076_46_0,131.79077394366746,178.72128869295014,176.30564293421244,7.626046916837892,6.801314823981564,0
61996_47_0,170.81199922332075,72.69816861567807,71.72554313691262,76.0370175459169,91.26900276347284,0
28925_48_0,127.28349280598101,177.69240480321554,153.74134044519272,9.120708759133803,17.767023102238234,0
81318_49_0,119.3763566719512,178.85652350577865,170.96021197402638,17.502195062735062,16.80419274842059,0
59137_50_0,125.2958361508148,177.89768118853598,176.0713756376822,2.7591076586203584,27.087490614036735,0
37108_51_0,129.0049028103813,178.96293086747377,175.92080766603266,0.5354589855650663,17.550824874786557,0
13817_52_0,121.10618182699514,177.62258568126026,177.69491634245188,6.683155343953546,17.128308867799547,0
80599_53_0,129.47176756097497,176.60988696784693,175.1736191869004,2.1885825604034226,13.108457693464803,0
8043_54_0,131.65318135825981,177.2255577817086,176.40380180248158,2.5410448142336213,14.543968613202098,0
58559_55_0,129.22163962321767,176.98525720866203,175.21048152105095,2.8310016778653386,14.983464806073705,0
91801_56_0,131.99424477069564,177.29233049377825,176.84659782084137,1.8177375995082294,16.28736339462354,0
63850_57_0,129.67112680359392,178.21238363954075,177.01304683295226,0.5473952508778153,20.011498878105755,0
57473_58_0,131.14319901441016,174.84791829779383,175.73630879228187,3.0292502312984744,22.192622261200196,0
23925_59_0,126.47803326797384,175.5735537071796,175.50586195023774,6.102999850115946,23.33404127670979,0
42578_60_0,126.50967628796509,177.33287010598426,176.60976052424365,0.5068743926417698,18.955214019526064,0
17015_61_0,129.10222305910895,179.70307179425217,175.5025693152794,0.4333939996683765,18.03844456778891,0
89189_62_0,129.16919846083982,178.4509259546374,175.8711607029426,2.2906100426385936,17.613524763214812,0
80693_63_0,128.67590153054329,179.15816341514625,176.1735456492036,3.3664606634298315,16.685446666588735,0
17311_64_0,127.57069682758903,176.4061435976937,174.39585465095988,0.3696450618460166,20.25325178737385,0
22178_65_0,126.39144714284545,176.0743851671188,174.459823757793,4.524209625923498,13.761307678480485,0
27075_66_0,130.9971141132139,177.76196969127122,175.9449670071288,9.46232220802565,10.523233898289822,0
15505_67_0,127.11996996546647,176.63470799423845,175.17115423132728,11.454220222829004,7.495857639729885,0
78584_68_0,126.42759934531017,175.20627154287644,174.77371651094035,10.714996474692235,12.578935237493063,0
63013_69_0,124.42931247415818,176.04073503109186,176.16113757973295,13.826369756358918,10.276454112560252,0
